business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to horses and other equine production.,14490.88,AgriCorp,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to dual-purpose cattle ranching and farming.,18870.38,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to sugarcane farming.,31425.04,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to other noncitrus fruit farming.,43659.02,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other poultry production.,25369.14,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to turkey production.,13033.78,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to orange groves.,3216.43,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to tree nut farming.,37218.29,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to dairy cattle and milk production.,29857.28,BioHarvest,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to apple orchards.,13299.83,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to other noncitrus fruit farming.,18330.06,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other noncitrus fruit farming.,48140.58,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to all other grain farming.,31925.13,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to hay farming.,13247.81,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to apple orchards.,44177.07,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to soybean farming.,34114.46,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to horses and other equine production.,6969.23,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to sugarcane farming.,23894.32,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to peanut farming.,31717.49,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to dry pea and bean farming.,42348.94,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to beef cattle ranching and farming.,23331.89,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to beef cattle ranching and farming.,13518.23,EcoFarms,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to poultry hatcheries.,5480.61,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to tobacco farming.,37137.59,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to goat farming.,36319.58,FreshFields,Procured for goat farming operations.,Goat Farming
Activities related to oilseed and grain combination farming.,42130.69,FreshFields,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to hay farming.,7154.7,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to rice farming.,20379.75,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to rice farming.,39113.87,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to oilseed and grain combination farming.,16733.48,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to soybean farming.,37230.84,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to dry pea and bean farming.,40930.95,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to wheat farming.,39471.96,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to oilseed and grain combination farming.,16954.23,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to goat farming.,11853.81,FreshFields,Procured for goat farming operations.,Goat Farming
Activities related to fruit and tree nut combination farming.,41912.48,FreshFields,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to shellfish farming.,30960.9,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to orange groves.,46965.22,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to poultry hatcheries.,39931.72,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to dry pea and bean farming.,13664.91,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to dry pea and bean farming.,29613.0,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to all other animal production.,5643.91,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to apiculture.,37895.68,CropGen,Procured for apiculture operations.,Apiculture
Activities related to finfish farming and fish hatcheries.,9731.27,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to shellfish farming.,33609.58,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to hay farming.,39451.04,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to other food crops grown under cover.,43883.19,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to berry (except strawberry) farming.,30059.04,FreshFields,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to rice farming.,17931.57,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to fruit and tree nut combination farming.,40206.31,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to oilseed and grain combination farming.,16620.27,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to other food crops grown under cover.,48703.94,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to all other grain farming.,45034.83,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to tree nut farming.,47222.02,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to dairy cattle and milk production.,18169.08,AgriCorp,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to other noncitrus fruit farming.,30874.75,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other poultry production.,24439.55,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to grape vineyards.,45114.17,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to turkey production.,31871.01,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to soybean farming.,14555.02,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to cotton farming.,42533.8,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to all other miscellaneous crop farming.,34441.01,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to cotton farming.,33956.87,CropGen,Procured for cotton farming operations.,Cotton Farming
